scenario,time_bin,n_edges,nnz,total_weight,source_entropy_bits,destination_entropy_bits,edge_gini,top_edge_share,top_source_share,top_destination_share,unique_sources,unique_destinations,total_weight_robust_z,nnz_robust_z,source_entropy_bits_robust_z,destination_entropy_bits_robust_z,edge_gini_robust_z,top_edge_share_robust_z,top_source_share_robust_z,top_destination_share_robust_z,unique_sources_robust_z,unique_destinations_robust_z,anomaly_score,injected_anomaly
scanner_fanout,16,5058,4873,22833702.0,10.952131390876854,10.936354604083645,0.483501923142752,0.0021738919076722645,0.0023962386826279856,0.003348778047466854,2847,2842,0.29990280678022685,0.25882352941176473,0.17426261105645255,-0.9819437026734763,2.13267124543897,2.483931810393222,-0.46191444177445273,6.598773584635825,0.07142857142857142,-0.1111111111111111,9.887122913706062,False
scanner_fanout,17,14973,13924,50349503.0,7.90000483935284,11.615169787920479,0.4721435206068456,0.0007787167233805664,0.046940483205961336,0.0012147686939432154,2847,3979,95.98324068970673,213.2235294117647,-236.92704016212676,44.9250223481169,-4.2965001983627795,-6.309537036139901,211.30995912859865,-8.646475529218074,0.07142857142857142,84.11111111111111,649.6242912607266,True
scanner_fanout,18,5027,4891,22565598.0,10.967611943617626,10.92202744418584,0.4837006558586776,0.0022599002251125805,0.0024976515136004816,0.0026613963432300797,2877,2823,-0.6324009854940423,0.6823529411764706,1.376853381957924,-1.9508619866093184,2.2451594847084615,3.0260224872268373,0.020221588344347476,1.6881553157459428,1.5,-1.5185185185185186,8.293605714451521,False
scanner_fanout,19,4967,4820,22693388.0,10.940658983584937,10.924036080276426,0.47787468744245554,0.0017505098842006315,0.0025306930811741287,0.002575375699741264,2795,2809,-0.18802454346136527,-0.9882352941176471,-0.7169595152016656,-1.815021788843341,-1.0525005212350562,-0.18454787265822906,0.17730753167217714,1.0736284221521364,-2.4047619047619047,-2.5555555555555554,1.2509359538243134,False
scanner_fanout,20,4866,4735,22442653.0,10.939357701659963,10.940497628219338,0.4811449318988099,0.0017309005312339855,0.0033385536014837462,0.0029296892840610243,2812,2812,-1.0599294436340179,-2.988235294117647,-0.8180482592225924,-0.7017589441802117,0.7985487091985444,-0.3081411219894339,4.018031239083742,3.604825789426183,-1.5952380952380953,-2.3333333333333335,7.622857028509925,False
scanner_fanout,21,5067,4912,23166830.0,10.955749920714801,10.955166434840237,0.47320030391480716,0.001964014929966681,0.0027053766095749827,0.003081647338025962,2859,2845,1.4583208002183805,1.1764705882352942,0.45536436886938203,0.2902642509182902,-3.698331481912144,1.1611254088476544,1.0077864967370012,4.69040603007824,0.6428571428571429,0.1111111111111111,10.993706197872495,False
scanner_fanout,22,4913,4760,22458317.0,10.94136124404082,10.933565808340248,0.47691053723394927,0.0015888991147466661,0.002489144667429888,0.002137337361477265,2820,2796,-1.0054595118083676,-2.4,-0.6624051360941471,-1.170544598120589,-1.598236329458844,-1.2031434457863193,-0.020221588344347476,-2.0556941261425408,-1.2142857142857142,-3.5185185185185186,0.0,False
scanner_fanout,23,5044,4904,23598627.0,10.974711728272094,10.987925557809904,0.4780601925448611,0.0016181449878418775,0.0023719176543618406,0.0023531877511348436,2888,2872,2.9598499851341318,0.9882352941176471,1.9283928291485453,2.505700767116856,-0.9474994787649438,-1.018813422683906,-0.5775412702950613,-0.5136704437164591,2.0238095238095237,2.111111111111111,12.517099510437815,False
destination_attack,0,5056,4889,23141885.0,10.966228243041225,10.960372208431483,0.47651770381840075,0.0019617243798420053,0.0025076176811007402,0.002449325108996091,2828,2854,1.140487347454173,1.2567567567567568,1.2001275093752113,0.6723776451613965,-1.9075555732001057,1.9347629186294508,0.579677286888781,0.49216143954837704,0.14583333333333334,0.5806451612903226,8.0028293984378,False
destination_attack,1,4902,4767,21814245.0,10.962614002876663,10.936742443750703,0.4786595446104982,0.0018918830333114899,0.0023196310484273007,0.0023779874114368844,2820,2807,-2.3963114612165306,-2.0405405405405403,0.9825393205003757,-1.3655067215516365,-0.870310403323714,1.2881328955093392,-0.3213998780051174,0.0011555996141775974,-0.1875,-2.4516129032258065,2.2718278156238925,False
